OBJECTID,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
2711,GO-20149007627,THEFT UNDER,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,14,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,17,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,GI,ROAM,OT,9,BLK,800,STOLEN,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3936287364987,43.6457618848656,-8838058.32312173,5410785.67264724
2712,GO-20149007623,THEFT UNDER,10/7/2014 5:00:00 AM,2014,October,Tuesday,7,280,19,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,15,D32,"Apartment (Rooming House, Condo)",Apartment,UK,MYKA HT,MT,7,WHI,500,STOLEN,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),-79.4046799141469,43.7532661890551,-8839288.53462936,5427338.61341603
2713,GO-20149007622,THEFT UNDER,10/15/2014 5:00:00 AM,2014,October,Wednesday,15,288,20,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,10,D52,Universities / Colleges,Educational,OT,CROSSTRAIL SPOR,MT,21,BLK,800,STOLEN,079,University (79),079,University (79),-79.40199183803,43.6630883053485,-8838989.29937782,5413451.49762813
2714,GO-20143112525,THEFT UNDER,10/5/2014 5:00:00 AM,2014,October,Sunday,5,278,22,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,0,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SPECIALIZED,CRAVE,MT,18,RED,1000,STOLEN,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.3844908624521,43.6808330350608,-8837041.09964111,5416182.48094306
2715,GO-20143113375,THEFT UNDER,10/15/2014 5:00:00 AM,2014,October,Wednesday,15,288,20,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,9,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MOUNTAIN CO-OP,,OT,27,WHI,1800,STOLEN,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),-79.4296559041112,43.6968282745011,-8842068.84911821,5418644.90318239
2716,GO-20143120263,B&E,10/14/2014 5:00:00 AM,2014,October,Tuesday,14,287,14,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,8,D14,"Private Property Structure (Pool, Shed, Detached Garage)",Other,BRIDGESTONE,XO-1,RG,12,ONG,1500,STOLEN,081,Trinity-Bellwoods (81),081,Trinity-Bellwoods (81),-79.4184341271873,43.6535796984919,-8840819.64661678,5411988.41800657
2717,GO-20149007645,THEFT UNDER,10/13/2014 5:00:00 AM,2014,October,Monday,13,286,13,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,15,D51,"Apartment (Rooming House, Condo)",Apartment,GI,,RG,12,BLU,400,STOLEN,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3830845471783,43.6630447021484,-8836884.54937142,5413444.78795033
2718,GO-20149007637,THEFT UNDER,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,19,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,9,D54,"Apartment (Rooming House, Condo)",Apartment,BI,,RC,10,DBL,200,STOLEN,061,Taylor-Massey (61),061,Taylor-Massey (61),-79.2951340593463,43.6960759147965,-8827093.94583224,5418529.06475597
2719,GO-20143123573,THEFT UNDER,10/15/2014 5:00:00 AM,2014,October,Wednesday,15,288,9,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,17,D54,"Apartment (Rooming House, Condo)",Apartment,EMMO,STINGER,EL,1,BLK,1000,STOLEN,059,Danforth East York (59),059,Danforth East York (59),-79.3409704235218,43.6894167057418,-8832196.42664386,5417503.83132321
2720,GO-20143120276,B&E,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,0,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,8,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NORCO,,OT,18,RED,600,STOLEN,090,Junction Area (90),090,Junction Area (90),-79.4799398147486,43.6698034470124,-8847666.42848583,5414484.88926963
2721,GO-20149007653,THEFT UNDER,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,17,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,19,D14,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,OT,3SPD-BUILT IN L,OT,3,BLK,700,STOLEN,162,West Queen West (162),082,Niagara (82),-79.4199928266677,43.6439614874109,-8840993.16030708,5410508.70938733
2722,GO-20149007669,THEFT UNDER,10/11/2014 5:00:00 AM,2014,October,Saturday,11,284,22,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,10,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TR,8.5 DS,OT,21,BLK,1100,STOLEN,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3936287364987,43.6457618848656,-8838058.32312173,5410785.67264724
2723,GO-20143127296,THEFT UNDER,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,8,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,9,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,SUPERCYCLE,,RG,6,PLE,200,STOLEN,062,East End-Danforth (62),062,East End-Danforth (62),-79.3015948513862,43.6876899246894,-8827813.1579078,5417237.99947339
2724,GO-20149007677,THEFT UNDER,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,11,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,23,D52,"Apartment (Rooming House, Condo)",Apartment,GI,13 ROVE 2S,RG,27,WHI,629,STOLEN,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.3860928455999,43.6615659006696,-8837219.43168425,5413217.23130448
2725,GO-20149007657,THEFT UNDER,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,16,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,1,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,,MT,27,BLU,800,STOLEN,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3809129463861,43.6563247954285,-8836642.80785389,5412410.7794823
2726,GO-20149007660,THEFT UNDER,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,23,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,10,D13,"Apartment (Rooming House, Condo)",Apartment,MA,,MT,21,SIL,400,STOLEN,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),-79.4199472283692,43.6871953077726,-8840988.08424961,5417161.85633925
2727,GO-20143134483,B&E,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,14,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,13,D51,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,UNKNOWN,,RG,0,,,STOLEN,073,Moss Park (73),073,Moss Park (73),-79.3700991535413,43.6561628952666,-8835439.02203491,5412385.86896232
2728,GO-20143133695,THEFT UNDER,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,23,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,10,D12,"Private Property Structure (Pool, Shed, Detached Garage)",Other,SPECIALIZED,KRANKED FACTOR,MT,21,BLKBRZ,400,STOLEN,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.4836468108671,43.670861140642,-8848079.08939292,5414647.66809259
2729,GO-20143136057,THEFT UNDER,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,19,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,18,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,SUPERCYCLE,,TO,18,BLU,300,STOLEN,095,Annex (95),095,Annex (95),-79.4060356402198,43.6721819160754,-8839439.45335733,5414850.93903865
2730,GO-20149007680,THEFT UNDER,10/12/2014 5:00:00 AM,2014,October,Sunday,12,285,22,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,14,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,CA,,MT,12,ONG,500,STOLEN,102,Forest Hill North (102),102,Forest Hill North (102),-79.4331161954329,43.7003069668253,-8842454.04695033,5419180.52499226
2731,GO-20149007687,THEFT UNDER,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,16,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,19,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,ANDIAMO,RC,24,BRN,899,STOLEN,084,Little Portugal (84),084,Little Portugal (84),-79.4246718251081,43.6459238905297,-8841514.02398186,5410810.59516036
2732,GO-20143134483,B&E,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,14,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,13,D51,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,UNKNOWN,,RG,0,,,STOLEN,073,Moss Park (73),073,Moss Park (73),-79.3700991535413,43.6561628952666,-8835439.02203491,5412385.86896232
2733,GO-20149007679,THEFT UNDER,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,9,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,12,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GI,,MT,21,WHI,400,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3792617461906,43.6524358915396,-8836458.99711069,5411812.43735887
2734,GO-20143133833,THEFT UNDER,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,19,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,10,D14,"Private Property Structure (Pool, Shed, Detached Garage)",Other,SPECIALIZED,ROUBAIX SL2,OT,10,BLK,2000,STOLEN,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),-79.4189658270101,43.6580294034269,-8840878.83519003,5412673.06071532
2735,GO-20149007680,THEFT UNDER,10/12/2014 5:00:00 AM,2014,October,Sunday,12,285,22,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,14,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,TR,,MT,12,,300,STOLEN,102,Forest Hill North (102),102,Forest Hill North (102),-79.4331161954329,43.7003069668253,-8842454.04695033,5419180.52499226
2736,GO-20143134832,THEFT UNDER,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,17,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,13,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SUPERCYCLE,,OT,10,YEL,,STOLEN,146,Malvern East (146),132,Malvern (132),-79.2111983852895,43.8118543192951,-8817750.26934317,5436372.22110897
2737,GO-20143134370,THEFT UNDER,10/9/2014 5:00:00 AM,2014,October,Thursday,9,282,0,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,12,D14,"Apartment (Rooming House, Condo)",Apartment,RALEIGT,,RG,16,GRN,500,STOLEN,085,South Parkdale (85),085,South Parkdale (85),-79.438304120564,43.6358942830636,-8843031.56423092,5409267.79730049
2738,GO-20149007696,THEFT UNDER,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,17,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,11,D55,"Open Areas (Lakes, Parks, Rivers)",Outside,OT,TRAVELER,TO,21,WHI,200,STOLEN,063,The Beaches (63),063,The Beaches (63),-79.2925920537876,43.6801123350327,-8826810.97113005,5416071.54666185
2739,GO-20143140472,THEFT UNDER,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,8,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,13,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,URBAN EXPRESS,,OT,1,BLK,500,STOLEN,095,Annex (95),095,Annex (95),-79.3941327446848,43.668719909127,-8838114.42914696,5414318.13603651
2740,GO-20149007692,THEFT UNDER,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,5,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,3,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,CC,ORION 700C. 606,OT,21,WHI,300,STOLEN,079,University (79),079,University (79),-79.4038414372844,43.6627011052534,-8839195.19579667,5413391.915035
2741,GO-20143139908,THEFT UNDER,10/14/2014 5:00:00 AM,2014,October,Tuesday,14,287,21,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,11,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,URBANITE,FIXED GEAR,OT,1,,800,RECOVERED,073,Moss Park (73),073,Moss Park (73),-79.3569796628127,43.6563849954887,-8833978.56697732,5412420.04208933
2742,GO-20143197862,THEFT UNDER,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,18,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,9,D52,Universities / Colleges,Educational,TREK,3700,MT,21,BLKBLU,,STOLEN,079,University (79),079,University (79),-79.4016470378578,43.662227104365,-8838950.91641739,5413318.9759695
2743,GO-20143138742,THEFT UNDER,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,7,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,8,D51,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,BASSO,,EL,10,WHI,1500,STOLEN,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3717291559044,43.6665121056158,-8835620.47302754,5413978.37112326
2744,GO-20143139448,THEFT UNDER,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,13,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,10,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,ROCKY MOUNTAIN,,RG,21,BLKGRY,,STOLEN,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.3926398649702,43.6883993463622,-8837948.24250555,5417347.21141016
2745,GO-20143139887,THEFT UNDER,10/17/2014 5:00:00 AM,2014,October,Friday,17,290,10,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,11,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TREK,CROSSRIP COMP,OT,24,BLK,1500,STOLEN,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.382118342475,43.6496062887099,-8836776.99192282,5411377.10226133
2746,GO-20149007697,THEFT UNDER,10/11/2014 5:00:00 AM,2014,October,Saturday,11,284,16,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,11,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SC,,RG,24,LBL,500,STOLEN,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.3874030485952,43.6701046097676,-8837365.28281505,5414531.23788246
2747,GO-20143142120,THEFT UNDER,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,14,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,15,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SE DRAFT,SINGLE SPEED,OT,1,PLE,350,STOLEN,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.407706732919,43.6564703983052,-8839625.47857915,5412433.18254426
2748,GO-20143144068,THEFT UNDER,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,1,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,2,D54,"Apartment (Rooming House, Condo)",Apartment,SUPERCYCLE,,MT,8,BLU,,STOLEN,067,Playter Estates-Danforth (67),067,Playter Estates-Danforth (67),-79.3586593833633,43.6775135431164,-8834165.5525524,5415671.53674415
2749,GO-20143146583,THEFT UNDER,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,7,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,12,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,,EL,1,GRYBLK,700,STOLEN,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.386352540417,43.648000387104,-8837248.3406881,5411130.04297775
2750,GO-20143147722,THEFT UNDER,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,11,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,15,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SCHWINN,,MT,21,BLURED,150,STOLEN,079,University (79),079,University (79),-79.3935349444371,43.667256507135,-8838047.88224405,5414092.92765665
2751,GO-20149007720,THEFT UNDER,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,13,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,12,D52,Universities / Colleges,Educational,OT,FIDELIO,RC,28,RED,1000,STOLEN,079,University (79),079,University (79),-79.3969462398483,43.6604444013081,-8838427.62597771,5413044.65957122
2752,GO-20143147357,THEFT UNDER,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,9,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,15,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OTHER,,MT,1,BLU,1100,STOLEN,069,Blake-Jones (69),069,Blake-Jones (69),-79.3413152936396,43.6702664463101,-8832234.81739665,5414556.14433855
2753,GO-20143146028,THEFT UNDER,10/20/2014 5:00:00 AM,2014,October,Monday,20,293,14,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,11,D51,Schools During Supervised Activity,Educational,NORCO,CITY GLIDE,RG,21,RED,,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3763604501496,43.6585104976143,-8836136.02631733,5412747.08623109
2754,GO-20143147357,THEFT UNDER,10/16/2014 5:00:00 AM,2014,October,Thursday,16,289,9,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,15,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OTHER,,MT,1,WHI,500,STOLEN,069,Blake-Jones (69),069,Blake-Jones (69),-79.3413152936396,43.6702664463101,-8832234.81739665,5414556.14433855
2755,GO-20143149549,THEFT UNDER,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,19,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,22,D14,"Apartment (Rooming House, Condo)",Apartment,TREK,3700,MT,21,BLKBLU,250,STOLEN,162,West Queen West (162),082,Niagara (82),-79.405115031627,43.6430184838273,-8839336.97174355,5410363.64633937
2756,GO-20143152503,B&E,10/19/2014 5:00:00 AM,2014,October,Sunday,19,292,18,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,11,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NORCO,CITY BIKE,OT,18,YEL,350,STOLEN,102,Forest Hill North (102),102,Forest Hill North (102),-79.4320937950169,43.7023096661718,-8842340.23390294,5419488.8990299
2757,GO-20149007750,THEFT UNDER,10/5/2014 5:00:00 AM,2014,October,Sunday,5,278,10,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,10,D11,"Apartment (Rooming House, Condo)",Apartment,BI,,MT,21,PLE,0,STOLEN,087,High Park-Swansea (87),087,High Park-Swansea (87),-79.4710689139583,43.6370687086722,-8846678.92430363,5409448.43929581
2758,GO-20143154513,THEFT UNDER,8/25/2014 5:00:00 AM,2014,August,Monday,25,237,12,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,16,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,SPECIALIZED,SIRRUS,RG,21,GRY,863,STOLEN,101,Forest Hill South (101),101,Forest Hill South (101),-79.4098556309976,43.7013175975594,-8839864.69281028,5419336.13988174
2759,GO-20143152112,THEFT UNDER,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,10,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,10,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SUNRISE,,EL,1,RED,100,STOLEN,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.3867705476637,43.6677816070383,-8837294.8731258,5414173.7366182
2760,GO-20149007749,THEFT UNDER,10/7/2014 5:00:00 AM,2014,October,Tuesday,7,280,20,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,10,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,TR,NAVIGATOR 3.0,MT,10,GRY,600,STOLEN,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.38517394513,43.6592373983412,-8837117.14009284,5412858.93459514
2761,GO-20143154088,THEFT UNDER,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,8,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,15,D53,"Apartment (Rooming House, Condo)",Apartment,OTHER,LINUS,OT,8,LGR,3000,STOLEN,095,Annex (95),095,Annex (95),-79.3941327446848,43.668719909127,-8838114.42914696,5414318.13603651
2762,GO-20143154513,THEFT UNDER,8/25/2014 5:00:00 AM,2014,August,Monday,25,237,12,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,16,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GT,AVALANCHE,MT,21,BLK,1200,STOLEN,101,Forest Hill South (101),101,Forest Hill South (101),-79.4098556309976,43.7013175975594,-8839864.69281028,5419336.13988174
2763,GO-20143152593,THEFT UNDER,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,11,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,13,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GIANT,,OT,18,WHI,600,STOLEN,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),-79.4315387040751,43.6950564753845,-8842278.44145547,5418372.10720794
2764,GO-20143154735,THEFT UNDER,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,9,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,17,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,ECO,PED,EL,1,,1000,STOLEN,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3864339406468,43.6500476891513,-8837257.40220596,5411445.01040662
2765,GO-20143154742,THEFT UNDER,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,14,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,17,D22,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,KONA,DEW PLUS,TO,12,BRN,900,STOLEN,015,Kingsway South (15),015,Kingsway South (15),-79.5263819936097,43.6513664192062,-8852836.34820344,5411647.89627128
2766,GO-20143150517,THEFT UNDER,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,3,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,5,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,CCM,MONZA,RG,21,GRYWHI,,STOLEN,081,Trinity-Bellwoods (81),081,Trinity-Bellwoods (81),-79.4255410248184,43.6514432967633,-8841610.78288326,5411659.72404553
2767,GO-20143162944,THEFT UNDER,10/10/2014 5:00:00 AM,2014,October,Friday,10,283,0,10/23/2014 5:00:00 AM,2014,October,Thursday,23,296,23,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,JAMIS,DURANGO -SX-MTB,OT,17,BLK,400,STOLEN,151,Yonge-Doris (151),051,Willowdale East (51),-79.4128324572567,43.7755353941288,-8840196.07156479,5430771.22276666
2768,GO-20149007782,B&E,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,17,10/23/2014 5:00:00 AM,2014,October,Thursday,23,296,19,D51,"Apartment (Rooming House, Condo)",Apartment,EM,GT5,EL,35,BLK,1095,STOLEN,074,North St.James Town (74),074,North St.James Town (74),-79.3732610583691,43.6713330110854,-8835791.00357813,5414720.28968444
2769,GO-20143158284,THEFT UNDER,10/21/2014 5:00:00 AM,2014,October,Tuesday,21,294,17,10/23/2014 5:00:00 AM,2014,October,Thursday,23,296,9,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,TEV,EL,1,BLU,,STOLEN,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3850327474512,43.6660597051634,-8837101.42200338,5413908.75142417
2770,GO-20149007780,THEFT UNDER,10/23/2014 5:00:00 AM,2014,October,Thursday,23,296,12,10/23/2014 5:00:00 AM,2014,October,Thursday,23,296,19,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SC,40TH ANNIVERSAR,OT,5,RED,600,STOLEN,089,Runnymede-Bloor West Village (89),089,Runnymede-Bloor West Village (89),-79.4804202178524,43.650218251582,-8847719.90670316,5411471.25117688
2771,GO-20149007776,THEFT UNDER,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,12,10/23/2014 5:00:00 AM,2014,October,Thursday,23,296,12,D14,"Private Property Structure (Pool, Shed, Detached Garage)",Other,FJ,FEATHER,RC,1,RED,1030,STOLEN,084,Little Portugal (84),084,Little Portugal (84),-79.4281494239489,43.6452244909337,-8841901.14853172,5410703.00206065
2772,GO-20143166942,THEFT UNDER,10/18/2014 5:00:00 AM,2014,October,Saturday,18,291,17,10/24/2014 5:00:00 AM,2014,October,Friday,24,297,15,D11,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,SEARS,FREE SPIRIT,TO,3,BLU,120,STOLEN,088,High Park North (88),088,High Park North (88),-79.4668390188654,43.6572210391233,-8846208.05454612,5412548.68004309
2773,GO-20143168680,THEFT UNDER,10/24/2014 5:00:00 AM,2014,October,Friday,24,297,19,10/24/2014 5:00:00 AM,2014,October,Friday,24,297,19,D12,"Apartment (Rooming House, Condo)",Apartment,OTHER,,MT,18,BLKRED,50,STOLEN,030,Brookhaven-Amesbury (30),030,Brookhaven-Amesbury (30),-79.4780510413785,43.7086551508714,-8847456.17112592,5420466.03991929
2774,GO-20149007802,THEFT UNDER,10/22/2014 5:00:00 AM,2014,October,Wednesday,22,295,22,10/24/2014 5:00:00 AM,2014,October,Friday,24,297,14,D14,"Apartment (Rooming House, Condo)",Apartment,SU,,MT,21,,,STOLEN,095,Annex (95),095,Annex (95),-79.4052913397793,43.6703078139532,-8839356.59826033,5414562.51085787
2775,GO-20149007809,THEFT UNDER,10/23/2014 5:00:00 AM,2014,October,Thursday,23,296,21,10/24/2014 5:00:00 AM,2014,October,Friday,24,297,20,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,905,MT,6,BLK,500,STOLEN,073,Moss Park (73),073,Moss Park (73),-79.373540452842,43.6609474000511,-8835822.10568726,5413122.05855663
2776,GO-20149007790,THEFT UNDER,10/1/2014 5:00:00 AM,2014,October,Wednesday,1,274,8,10/24/2014 5:00:00 AM,2014,October,Friday,24,297,9,D53,"Apartment (Rooming House, Condo)",Apartment,EM,S6,EL,1,BLK,1667.59997558594,STOLEN,095,Annex (95),095,Annex (95),-79.4015296396736,43.6671579095494,-8838937.84773182,5414077.75439482
2777,GO-20143168302,THEFT UNDER,10/23/2014 5:00:00 AM,2014,October,Thursday,23,296,9,10/24/2014 5:00:00 AM,2014,October,Friday,24,297,18,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EMMO,,EL,1,,,STOLEN,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.380271843706,43.6486436877473,-8836571.4407057,5411229.01054279
2778,GO-20149007794,THEFT UNDER,10/23/2014 5:00:00 AM,2014,October,Thursday,23,296,18,10/24/2014 5:00:00 AM,2014,October,Friday,24,297,10,D12,Universities / Colleges,Educational,RM,GLIDE,RC,24,RED,500,STOLEN,113,Weston (113),113,Weston (113),-79.5228527454098,43.7043645551374,-8852443.47400187,5419805.31995087
