OBJECTID,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
15054,GO-20189016858,THEFT UNDER - BICYCLE,5/29/2018 5:00:00 AM,2018,May,Tuesday,29,149,16,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,20,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UK,2015 SCALE 30,MT,18,GRY,1300,STOLEN,103,Lawrence Park South (103),103,Lawrence Park South (103),-79.4062527299109,43.7132533821358,-8839463.61970558,5421174.18590352
15055,GO-20189016870,THEFT UNDER - BICYCLE,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,9,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,22,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OT,,MT,24,BLK,600,STOLEN,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3928432373344,43.6473175864212,-8837970.88177303,5411024.99976092
15056,GO-20189016806,THEFT UNDER - BICYCLE,5/24/2018 5:00:00 AM,2018,May,Thursday,24,144,21,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,13,D55,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,SU,,MT,15,,300,STOLEN,070,South Riverdale (70),070,South Riverdale (70),-79.352231768208,43.6583271974309,-8833450.03372358,5412718.88185417
15057,GO-20189016827,THEFT UNDER - BICYCLE,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,15,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,15,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,CANNONDALE,CANNONDALE,MT,21,GRY,682.489990234375,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3793664467043,43.65418629329,-8836470.6523727,5412081.74723959
15058,GO-2018978710,B&E,5/29/2018 5:00:00 AM,2018,May,Tuesday,29,149,13,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,19,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNK,,MT,18,BLU,200,STOLEN,124,Kennedy Park (124),124,Kennedy Park (124),-79.2564045135861,43.7217731955464,-8822782.59260418,5422486.41498966
15059,GO-20189016827,THEFT UNDER - BICYCLE,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,15,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,15,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,CA,,MT,21,GRY,682.489990234375,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3793664467043,43.65418629329,-8836470.6523727,5412081.74723959
15060,GO-2018973896,THEFT OVER,5/8/2018 5:00:00 AM,2018,May,Tuesday,8,128,15,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,8,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NORCO,SEARCHC ULTEGRA,OT,30,,4299,STOLEN,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.5001160037269,43.6361160570925,-8849912.43157145,5409301.90875605
15061,GO-20189016770,THEFT UNDER - BICYCLE,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,2,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,10,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,HF,,RG,10,BLK,200,STOLEN,033,Clanton Park (33),033,Clanton Park (33),-79.4451589059321,43.7465715647515,-8843794.63540662,5426306.94355848
15062,GO-20189016821,THEFT UNDER - BICYCLE,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,9,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,14,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,RA,SUMMIT,MT,15,TRQ,150,STOLEN,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),-79.3268770044443,43.6627975552919,-8830627.55430592,5413406.75678911
15063,GO-20189016833,THEFT UNDER,5/17/2018 5:00:00 AM,2018,May,Thursday,17,137,12,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,16,D11,"Apartment (Rooming House, Condo)",Apartment,OT,,MT,10,OTH,299.989990234375,STOLEN,088,High Park North (88),088,High Park North (88),-79.4672034169748,43.6539678306645,-8846248.61914592,5412048.13509839
15064,GO-20189016758,THEFT UNDER - BICYCLE,5/29/2018 5:00:00 AM,2018,May,Tuesday,29,149,23,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,8,D14,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GI,ESCAPE 2,RG,24,BLK,800,STOLEN,081,Trinity-Bellwoods (81),081,Trinity-Bellwoods (81),-79.4101581299459,43.6475866899002,-8839898.36684493,5411066.39901557
15065,GO-2018978710,B&E,5/29/2018 5:00:00 AM,2018,May,Tuesday,29,149,13,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,19,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNK,,MT,18,BLURED,,STOLEN,124,Kennedy Park (124),124,Kennedy Park (124),-79.2564045135861,43.7217731955464,-8822782.59260418,5422486.41498966
15066,GO-20189016806,THEFT UNDER - BICYCLE,5/24/2018 5:00:00 AM,2018,May,Thursday,24,144,21,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,13,D55,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,SC,,RG,15,BLU,500,STOLEN,070,South Riverdale (70),070,South Riverdale (70),-79.352231768208,43.6583271974309,-8833450.03372358,5412718.88185417
