OCC_YEAR,OCC_MONTH,OCC_DOW,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_TYPE,BIKE_COST,STATUS,NEIGHBOURHOOD_158
2014,January,Wednesday,D52,"Apartment (Rooming House, Condo)",Apartment,EL,1750.0,STOLEN,Bay-Cloverhill (169)
2014,February,Wednesday,D13,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,EL,1700.0,STOLEN,Corso Italia-Davenport (92)
2014,February,Saturday,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,200.0,STOLEN,Kensington-Chinatown (78)
2014,February,Sunday,D51,"Single Home, House (Attach Garage, Cottage, Mobile)",House,RC,500.0,STOLEN,Cabbagetown-South St.James Town (71)
2014,January,Friday,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SC,,STOLEN,Woodbine Corridor (64)
2014,February,Sunday,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,RG,150.0,STOLEN,Church-Wellesley (167)
2014,January,Wednesday,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,700.0,STOLEN,South Riverdale (70)
2014,February,Sunday,D12,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,1500.0,STOLEN,Weston (113)
2014,February,Friday,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,MT,100.0,STOLEN,University (79)
2014,February,Thursday,D41,"Gas Station (Self, Full, Attached Convenience)",Commercial,MT,,STOLEN,Dorset Park (126)
2014,February,Wednesday,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,RG,0.0,STOLEN,Trinity-Bellwoods (81)
2014,February,Monday,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,EL,2000.0,STOLEN,Mount Olive-Silverstone-Jamestown (2)
2014,February,Sunday,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,,STOLEN,Briar Hill-Belgravia (108)
2014,January,Saturday,D52,"Apartment (Rooming House, Condo)",Apartment,MT,1400.0,STOLEN,Bay-Cloverhill (169)
2014,February,Monday,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RG,0.0,STOLEN,High Park North (88)
2014,February,Tuesday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,700.0,STOLEN,Church-Wellesley (167)
2013,November,Wednesday,D14,"Apartment (Rooming House, Condo)",Apartment,TO,250.0,STOLEN,Kensington-Chinatown (78)
2014,February,Sunday,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,RC,300.0,STOLEN,Junction-Wallace Emerson (171)
2014,February,Sunday,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,RC,1000.0,STOLEN,Junction-Wallace Emerson (171)
2014,February,Sunday,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,RG,1850.0,STOLEN,Junction-Wallace Emerson (171)
2014,March,Monday,D51,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,OT,1500.0,STOLEN,Regent Park (72)
2014,March,Tuesday,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,MT,800.0,STOLEN,East End-Danforth (62)
2014,March,Monday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,MT,80.0,STOLEN,Downtown Yonge East (168)
2014,March,Thursday,D51,"Open Areas (Lakes, Parks, Rivers)",Outside,EL,2000.0,STOLEN,Moss Park (73)
2014,March,Wednesday,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,BM,350.0,STOLEN,Bay-Cloverhill (169)
2014,March,Wednesday,D51,"Apartment (Rooming House, Condo)",Apartment,EL,2000.0,STOLEN,Downtown Yonge East (168)
2014,March,Wednesday,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,BM,550.0,STOLEN,Bay-Cloverhill (169)
2014,March,Wednesday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RG,500.0,STOLEN,Moss Park (73)
2014,March,Friday,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,400.0,STOLEN,North Riverdale (68)
2014,March,Saturday,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,2500.0,STOLEN,Leaside-Bennington (56)
2014,March,Saturday,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RG,500.0,STOLEN,Yonge-Bay Corridor (170)
2014,February,Sunday,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,500.0,STOLEN,Junction Area (90)
2014,March,Saturday,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SC,1600.0,STOLEN,Annex (95)
2014,March,Friday,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RG,700.0,STOLEN,Bay-Cloverhill (169)
2014,March,Monday,D51,"Apartment (Rooming House, Condo)",Apartment,MT,200.0,STOLEN,North St.James Town (74)
